Conversation ID,Conversation Participant type,Conversation Message Text,translated text,NPS score,Language,Devices used,Inserted On,Expected_Sentiment_For_Demo
CONV-100001,Supplier,"[system note removed] Thank you for the fast support, the agent solved my issue clearly.","[system note removed] Thank you for the fast support, the agent solved my issue clearly.",8,Malay,Web,2026-03-24,Positive
CONV-100002,Customer,The process was smooth and the representative was professional.,The process was smooth and the representative was professional.,5,English,Email,2026-01-22,Positive
CONV-100003,Customer,I am happy with the service and the reply was very helpful.,I am happy with the service and the reply was very helpful.,10,English,Chat Widget,2026-01-21,Positive
CONV-100004,Customer,[system note removed] The conversation was about general product availability.,[system note removed] The conversation was about general product availability.,0,English,Email,2026-02-28,Neutral
CONV-100005,Agent,[system note removed] I need more information before making a decision.,[system note removed] I need more information before making a decision.,10,English,Email,2026-02-24,Neutral
CONV-100006,Customer,I am frustrated because no one followed up on my issue.,I am frustrated because no one followed up on my issue.,9,Tagalog,Mobile App,2026-02-08,Negative
CONV-100007,Traveler,The issue is fixed now and I am satisfied with the support.,The issue is fixed now and I am satisfied with the support.,7,English,Web,2026-02-22,Positive
CONV-100008,Agent,The issue is fixed now and I am satisfied with the support.,The issue is fixed now and I am satisfied with the support.,8,Malay,Email,2026-03-19,Positive
CONV-100009,Agent,The conversation was about general product availability.,The conversation was about general product availability.,8,English,Web,2026-01-04,Neutral
CONV-100010,Supplier,"Great user service, I appreciate the quick follow up.","Great customer service, I appreciate the quick follow up.",9,Spanish,Chat Widget,2026-01-14,Positive
CONV-100011,Agent,I am frustrated because no one followed up on my issue.,I am frustrated because no one followed up on my issue.,7,English,Phone,2026-03-21,Negative
CONV-100012,Customer,The response was slow and did not solve the problem.,The response was slow and did not solve the problem.,7,Arabic,Chat Widget,2026-02-10,Negative
CONV-100013,Agent,The process was smooth and the representative was professional.,The process was smooth and the representative was professional.,0,English,Mobile App,2026-01-08,Positive
CONV-100014,Customer,I am happy with the service and the reply was very helpful.,I am happy with the service and the reply was very helpful.,8,Tagalog,Mobile App,2026-01-05,Positive
